condition,trust_1,trust_2,trust_3,trust_4,trust_5,trust_6,trust_7,trust_8,trust_9,trust_10,trust_score_avg
control,3,3,3,3,3,3,3,3,3,3,3
ai,5,5,5,5,5,5,5,5,5,5,5
control,NA,2,3,4,5,4,3,2,NA,2,3.125
ai,5,5,5,5,5,5,5,5,5,5,5
control,2,2,3,NA,4,3,2,2,3,4,2.7777777777777777
ai,NA,2,3,5,2,4,3,NA,2,NA,3
control,NA,NA,NA,2,2,NA,NA,NA,NA,NA,2
control,5,5,5,5,5,NA,NA,NA,NA,NA,5
control,4,5,5,4,3,3,4,5,4,5,4.2
ai,3,2,4,5,3,2,4,3,5,5,3.6
control,2,3,3,4,3,4,4,4,3,4,3.4
ai,NA,3,4,5,5,5,4,4,3,3,4
ai,5,5,5,5,5,5,5,5,5,5,5
ai,4,4,4,4,4,4,4,4,4,4,4
control,3,4,3,4,3,4,4,4,2,2,3.3
control,4,4,4,4,4,4,4,4,4,3,3.9
control,4,3,4,3,4,5,4,3,4,3,3.7
ai,4,4,3,3,2,4,4,3,4,4,3.5
control,3,3,4,3,4,3,2,3,3,4,3.2
ai,4,4,3,4,4,4,3,4,4,3,3.7
control,5,5,5,5,5,5,5,5,5,4,4.9
control,2,3,3,4,3,2,4,3,4,2,3
control,5,4,3,4,3,3,4,3,4,4,3.7
ai,3,4,2,4,4,4,4,3,3,3,3.4
control,4,4,4,4,4,4,4,4,4,4,4
ai,5,4,5,5,4,5,4,5,4,4,4.5
control,5,5,4,4,5,5,5,4,4,5,4.6
ai,4,4,4,5,5,5,4,4,5,5,4.5
control,3,4,4,5,4,5,4,4,5,4,4.2
ai,4,5,5,5,5,5,5,5,5,5,4.9
control,4,4,3,4,4,4,4,4,4,4,3.9
ai,4,4,5,5,5,4,5,5,5,4,4.6
control,3,5,4,5,4,5,4,5,4,5,4.4
ai,5,4,4,3,3,4,4,4,5,4,4
control,4,5,3,4,4,3,3,4,3,3,3.6
ai,4,4,4,4,4,4,3,4,4,4,3.9
control,4,3,4,3,2,3,4,3,2,3,3.1
ai,4,5,5,4,5,5,5,5,4,5,4.7
control,4,4,4,4,4,4,4,4,4,4,4
ai,5,4,4,5,4,4,4,4,3,4,4.1
control,5,5,4,4,4,4,5,5,5,4,4.5
